1669739004.930544,0
1669739005.037679,20
1669739005.145219,18
1669739005.251891,18
1669739005.359869,13
1669739005.468120,10
1669739005.574990,13
1669739005.680168,12
1669739005.786228,12
1669739005.895180,14
1669739006.001944,20
1669739006.114173,12
1669739006.222844,8
1669739006.331105,11
1669739006.437810,15
1669739006.545724,19
1669739006.657199,1
1669739006.764918,5
1669739006.877446,6
1669739006.985945,18
1669739007.092252,19
1669739007.202123,17
1669739007.310363,2
1669739007.417899,3
1669739007.523093,6
1669739007.630422,6
1669739007.738609,7
1669739007.846540,7
1669739007.953530,9
1669739008.059493,10
1669739008.165356,11
1669739008.273240,10
1669739008.384700,11
1669739008.491508,13
1669739008.607955,14
1669739008.714970,15
1669739008.822701,16
1669739008.929994,16
1669739009.038846,17
1669739009.145652,16
1669739009.252087,18
1669739009.359608,16
1669739009.471696,17
1669739009.578130,18
1669739009.683827,19
1669739009.791181,18
1669739009.897066,17
1669739010.012118,5
1669739010.119208,6
1669739010.226303,7
1669739010.337624,7
1669739010.443632,8
1669739010.551902,8
1669739010.660097,9
1669739010.766996,10
1669739010.872131,11
1669739010.981217,11
1669739011.086111,12
1669739011.192299,12
1669739011.302186,13
1669739011.407950,13
1669739011.514434,15
1669739011.619764,15
1669739011.726111,16
1669739011.834241,15
1669739011.942650,16
1669739012.049685,18
1669739012.157611,19
1669739012.265462,19
1669739012.371864,14
1669739012.478270,10
1669739012.585552,16
1669739012.691989,20
1669739012.799100,17
1669739012.906220,12
1669739013.013104,16
1669739013.119064,1
1669739013.229764,1
1669739013.336512,4
1669739013.444725,15
1669739013.551923,20
1669739013.660775,20
1669739013.769600,3
1669739013.875725,3
1669739013.981930,7
1669739014.087726,8
1669739014.193685,9
1669739014.300422,9
1669739014.407230,11
1669739014.515664,10
1669739014.622981,11
1669739014.735206,11
1669739014.844977,13
1669739014.951718,13
1669739015.057184,14
1669739015.164562,15
1669739015.270643,14
1669739015.377917,15
1669739015.486610,16
1669739015.594087,17
1669739015.699884,18
1669739015.805807,19
1669739015.916147,18
1669739016.024357,20
1669739016.132508,7
1669739016.243981,9
1669739016.349744,11
1669739016.456174,8
1669739016.561839,12
1669739016.668357,12
1669739016.779452,14
1669739016.886478,13
1669739016.993436,14
1669739017.103787,15
1669739017.209882,16
1669739017.319815,17
1669739017.426142,17
1669739017.530739,18
1669739017.639400,18
1669739017.745442,19
1669739017.852808,18
1669739017.959463,9
1669739018.066780,9
1669739018.173149,10
1669739018.281881,10
1669739018.387700,11
1669739018.494730,12
1669739018.602793,13
1669739018.711072,14
1669739018.816735,14
1669739018.933769,15
1669739019.045535,16
1669739019.155559,19
1669739019.264298,5
1669739019.372052,6
1669739019.478880,8
1669739019.585043,10
1669739019.695225,18
1669739019.801622,20
1669739019.908588,18
1669739020.017861,12
1669739020.125771,20
1669739020.235854,4
1669739020.359410,3
1669739020.465334,3
1669739020.571109,5
1669739020.677905,4
1669739020.784990,7
1669739020.891757,9
1669739020.997145,10
1669739021.106084,9
1669739021.211645,10
1669739021.317751,10
1669739021.424678,12
1669739021.531591,12
1669739021.637457,13
1669739021.747406,15
1669739021.854025,13
1669739021.959936,15
1669739022.877509,17
1669739022.987201,16
1669739023.093796,16
1669739023.199388,16
1669739023.305904,18
1669739023.411922,17
1669739023.518738,17
1669739023.626268,17
1669739023.731847,18
1669739023.838172,12
1669739023.945802,9
1669739024.051628,10
1669739024.159631,11
1669739024.269419,12
1669739024.378707,13
1669739024.486587,14
1669739024.600216,13
1669739024.706570,15
1669739024.817037,17
1669739024.924150,14
1669739025.039706,16
1669739025.146014,16
1669739025.252475,15
1669739025.359753,17
1669739025.467167,18
1669739025.572603,18
1669739025.678636,18
1669739025.786533,12
1669739025.893189,14
1669739026.003519,14
1669739026.108894,15
1669739026.217179,17
1669739026.322698,17
1669739026.429490,19
1669739026.539543,16
1669739026.645503,14
1669739026.752441,13
1669739026.859987,15
1669739026.967589,20
1669739027.081099,18
1669739027.189161,8
1669739027.297370,9
1669739027.406200,10
1669739027.513817,16
1669739027.621726,20
1669739027.738728,7
1669739027.851002,2
1669739027.960643,2
1669739028.068303,3
1669739028.178633,5
1669739028.285003,6
1669739028.390205,8
1669739028.497733,9
1669739028.603519,9
1669739028.709260,10
1669739028.815578,11
1669739028.921975,12
1669739029.031707,12
1669739029.139575,14
1669739029.246844,13
1669739029.355703,14
1669739029.464053,16
1669739029.571939,16
1669739029.678736,16
1669739029.785395,17
1669739029.893730,18
1669739030.001482,18
1669739030.106969,18
